Listing_id,Review_id,Date,Reviewer_name,Comments
45024912,6.93E+17,2022/8/14,Ruth,"The listing lived up to the name! we enjoyed the privacy of our own space, was clean, inviting, and Elsa provided many amenities for our stay. she responded quickly to any questions, and location was in a quiet residential neighborhood. would highly recommend!"
9005989,319482663,2018/9/6,Laura,"My wife and I were able to relax, work, and enjoy Albany. The park across the street was a great treat for family outings with our Dog! The host's were extremely flexible when we needed to adjust out reservation. Location was perfect!!"
24655782,5.26E+17,2021/12/26,Aynur,The house was nice and clean. Parking is easy. The place is close to restaurants. Kitchen had everything You need to cook. I wish there was a regular coffee machine instead of Chemex pour-over. Will stay again!
6623339,489826040,2019/7/17,Laura,Great place and location!  Nice and cool in the heat as well
10768745,84058360,2016/7/5,Wes,"I had a very nice stay at Elizabeth's place.  Refrigerator, microwave, wireless internet, parking, and private bathroom are included.  Nice neighborhood, and check-in and check-out were easy.  Would stay again! "
52611613,8.51E+17,2023/3/19,Mike,Phenomenal stay. Diana was responsive and really worked with me on check in and check out time. Very convenient to all things you need around Albany. Highly recommend.
44265426,6.28E+17,2022/5/16,Elizabeth,This unit was so clean and so charming. The location was perfect. On a quiet street directly across from a magnificent park. I would highly recommend staying here. And Lloyd was a terrific communicator and host!
11639446,149100257,2017/5/2,Julia,"Absolutely fabulous does not begin to describe staying with Adam. He was so flexible about my arrival and had dinner set and waiting for me on my arrival despite it being later in the evening. His warm and courtly hospitality are from another era. <br/><br/>My room was quite comfortable with a twin bed. It is an older building but everything was very clean. <br/><br/>Despite leaving at an early hour, Adam also made me breakfast which was stunningly delicious and he packed me a lunch to take with me as well. <br/><br/>I wouldn't stay anywhere else besides at Adams in coming to Albany. "
5.95E+17,8.96E+17,2023/5/21,희경,Love it
45804322,8.70E+17,2023/4/14,Michael,It was a great place to stay.  I enjoyed my stay there.
33558235,4.08E+17,2021/7/16,Orkan,Great place! Everything was very well described. I will not hesitate to stay again
50890336,7.69E+17,2022/11/26,Leanor,"Arrived on Thanksgiving day, so just checked in and left. Came home exhausted from family and traveling and saw, unlike the pictures posted, that the bed only had two small flat pillows, one regular one and one in a decorative sham. For two adults. <br/>It was late, so we just had a bad nights sleep and would talk about it tomorrow. <br/>I message them to let them know, very responsive and said they’d come in an hour, and they did. With sealed throw pillow inserts. Not real pillows. But at this point, we’ve already spoken up, what can we do? We open them up to put the pillow cases on and they REEK like smoke. It was so bad we couldn’t use them. Ended up borrowing pillows from my family just so we could get some real sleep."
24655782,570487454,2019/11/29,Phil,What a lovely little apartment! It was a pleasure to stay there.
9005989,754245001,2021/5/2,Lynne,"This apartment is a basement apartment.  The bed is very comfortable, which is crucial when traveling. The kitchen is well equipped and bathroom small but good, the shower works great. The Daily Grind is nearby for a cup of delicious coffee and bagels!"
52691284,5.29E+17,2021/12/30,Jenny,I stayed here with my two teenagers.  It was a nice treat to spread out and each have our own bedroom as well as comfortable clean dining room to share our takeout together.  Much better than being squished in one or two hotel rooms.  Diana was responsive and helpful with restaurant recommendations and checkout procedures.  A smooth stay.
50171851,6.22E+17,2022/5/8,Debra,"Perfect location for museums, parks, theater and restaurants."
6.25E+17,6.93E+17,2022/8/14,Deashia,Great place in great area with plenty of perks! Can’t wait to stay again!
13083497,4.85E+17,2021/10/31,Hubert,The house was just right for our needs.  It was completely clean and well maintained.  Good location for colleges in the Capital District.  Will definitely return if we need to stay in the area.
54126420,7.62E+17,2022/11/17,Willie,"Lots of space and good value. This is nice-sized one-bedroom with room to spread out. It was a good deal, too, and a convenient location. I was in town for business and this was a good spot to come back to and relax. There was a supermarket and other shops/restaurants within walking distance, which was nice. It's an older house and apartment, but everything was very clean and well maintained. I'd stay here again."
25549565,4.11E+17,2021/7/20,Jess,Super clean and cute little place! You have your own private entrance and the place is in the most amazing location. Janet and her husband were extremely accommodating and i will hopefully be back soon!
6623339,506377237,2019/8/10,Amira,Terra’s place was wonderful!
5.14E+17,6.47E+17,2022/6/11,Mark,2 month stay as a travel nurse:<br/><br/>absolutely amazing host that will basically bend over backwards to meet your needs <br/><br/>great location and very close to all hospitals and downtown <br/><br/>central air and heat that you can control<br/><br/>laundry on premises <br/><br/>all basic kitchen essentials <br/><br/>very easy check in and check out<br/>A+
40828178,750074219,2021/4/18,Logan,"Lloyd's place was sparkling clean, had so many nice touches, and was in a nice quiet neighborhood no more than a 10 minute drive from everything. Would definitely recommend!"
52360097,5.92E+17,2022/3/27,Michele,.
6.90E+17,8.81E+17,2023/4/30,Anastasia,"Great location, beautiful place to stay, super clean, and easy to check in/out."
13711253,189099725,2017/8/31,Andrew,"Adam is an amazing host, he has a huge heart and a very welcoming personality. The building is old but Adam makes up for the older building with great food and a very good hostess!"
11253948,452060579,2019/5/12,Anne-Marie,"Great stay at Piotr’s place. Clean, comfortable, convenient."
15580397,5.93E+17,2022/3/29,Martin,Everything as described
9501054,426638970,2019/3/21,Dana,Great location
6.37E+17,7.43E+17,2022/10/21,Erin,"Julia's place was as advertised. Basics were all there, parking was easy. No issues!"
9501054,334938942,2018/10/10,Poppa,Expect warm reception and cozy environment.....
39864828,5.72E+17,2022/2/27,Sean,This place is absolutely beautiful with great location close to tons of bars and the palace theater. Id come back here every time I went to Albany.
40828178,746815560,2021/4/8,Holly,Wonderful location and best hospitality!
51592836,5.06E+17,2021/11/28,Elizabeth,"Lovely old apartment, looked like the pictures. I decided not to rent a car at the last minute, which I wouldn't recommend, but that was about my poor planning, not the place."
9005989,242279246,2018/3/11,Jackie,A couple of us were arriving at different times throughout the day. Sue accommodated us with a better schedule. Her place was really cosy and modern with a great kitchen. I would stay here again if I need to travel near the Albany center.
52241973,5.96E+17,2022/4/2,Joshua,Great place & cool decor!
13711253,96813767,2016/8/24,Alias,Adam is an amazing guy. 
38321579,7.45E+17,2022/10/24,Jyothi,"I needed a stopover between MA and Rochester.  Diana's home was cozy, comfortable, filled with beautiful art, a pretty garden, and overall just what I needed.   Finn's a sweet cat; I enjoyed his company.  I also got some tips from Diana on storing dahlia tubers over the winter.  Highly recommend this stay."
24655782,350506944,2018/11/19,Christine,"The place is super cute, has a small well equipped kitchen, comfy bedding, and a nice look and feel overall. Everything was as advertised. The check-in and out was easy."
51230498,8.72E+17,2023/4/17,Mary,perfect for night in town.
13083497,481913683,2019/7/5,Joseph,The place was on a nice quiet street and had plenty of space for our family.
51960331,7.14E+17,2022/9/11,Deanne,"Our two-night stay at Marlene's place was very comfortable. The bed was great and the wifi and TV was easy to use. The bathroom was clean with plenty of hot water for showers. We parked at the parking lot on Grand Street, so we had easy access to the Airbnb. Although we did not cook any meals, there seemed to be plenty of kitchen supplies if you wanted to cook a simple meal. We had a wonderful dinner at the Cafe Capriccio - yum. We walked to the New York State House and the New York State Museum. We highly recommend this cozy place for a vacation in Albany."
7.47E+17,8.56E+17,2023/3/27,Darnell,Top places to stay
9501054,117065126,2016/12/4,Vijay,The bedroom is very spacious and comfortable. Only thing I feel is the heating system has to upgrade. 
52241973,6.74E+17,2022/7/18,Charlie,"Cute place, in a fantastic neighborhood. Found good food and coffee easily and had a great stay. Jason is super responsive and accommodating. Highly recommend!"
32279028,517555718,2019/8/25,Maria,"Staying with Diana was like nothing I’ve ever experienced with an Airbnb in the BEST way! The room was so cute and cozy, Finn the cat was a total sweetheart and the neighborhood was absolutely charming. That would have been enough for five stars but then I was lucky enough to get to share coffee with Diana (and Finn) and learn about her story, and the story behind the unbelievable art in the house made by her and by her late husband. The hospitality was like our of a movie with a gentle kind innkeeper taking in weary travelers. I would not hesitate to stay here again and have already sent links to her listing to family members who also travel up their to visit our Albany cousins. Affordable, charming, gracious and comfortable. Stay here!"
5651579,277107355,2018/6/15,Mary Ann,Great place on quiet area near capital. Nice kitchen area.   Clean and Gregg communicates.  Would like to stay again.
24655782,367288605,2019/1/4,João,Jake is really nice host!
6.37E+17,8.23E+17,2023/2/9,Morty,Nice and clean
52863776,5.29E+17,2021/12/30,Brandon,Great location and apartment
24655782,5.66E+17,2022/2/19,John,Affordable place to stay in a very convenient location. Jake has a thorough and helpful guidebook that made for an enjoyable stay. This place is definitely a can't miss!
48124042,7.67E+17,2022/11/23,Vivi,"The unit was clean and comfortable, great place to stay."
3820211,24684113,2015/1/1,Molly,"Staying at Terra's was the perfect escape we needed. She was wonderful to communicate with from the first interaction on and her beautiful apartment couldn't have been nicer. It is very tastefully decorated and tidy in a prime neighborhood and it even had parking! We would love to come back another time- it is a perfect, homey spot; recommended to all."
6623339,346681235,2018/11/9,Kate,"Terra’s apartment is giant and centrally located. I stayed here for a night as I was passing through town and it was great. There are lots of places to eat in the area. I loved the decor of the apartment. <br/><br/>The only area for improvement I would note is that I had to reach out to Terra for check-in information. Also, I asked for restaurant recommendations and she didn’t reply. Other air bnbs I have stayed in provided this information several days in advance, which was nice."
10768745,548396074,2019/10/17,Titcha,Elizabeth's place is as pictured. It is also in a great part of town. I will definitely return.
28868857,6.06E+17,2022/4/15,Cécile,L appartement est très bien situé pour une halte avant de partir à New York<br/>Bien pour 1 nuit
51503537,4.69E+17,2021/10/8,Debora,I had a nice stay!
25549565,415811221,2019/2/23,Kevin,"Clean and tidy little space, very convenient to all the bars and restaurants on Lark St. <br/><br/>The hosts provided everything we needed �?toiletries, towels, water glasses �?and threw in some nice touches like local recommendations/tourist info and a coffee maker."
25549565,357756022,2018/12/11,Emilia,"Janet’s place was right in proximity to the Times Union center where my husband and I were attending a concert the night of our stay. Very close walking distance and great quaint little shops up the block, on Lark street. The place was small but comfy and the bed was great. Great water pressure too in the shower. Everything was clean and check in was a breeze with the lock box. Paul even poked his outside to say hi and offer us any tips or insights if we needed. We would stay again :)"
35793179,5.51E+17,2022/1/30,Wyatt,This was a very nice place to stay for a weekend event
9005989,230655411,2018/1/28,Linsey,Josh and Sue are wonderful hosts!! Their communication and assistance were expedient and accommodating.  Their space is modern and very cute and was perfect for my husband and I for a long weekend stay. There did seem to be about a ten minute limit on hot water during showers - certainly not a deal breaker but something to consider if you have multiple guests. The location is great! We had a convention at the Empire State Plaza and they were only about 3 blocks away! Overall our stay was great and I would recommend Josh and Sue's place!
43208391,5.65E+17,2022/2/18,Nicola,This listing was exactly as advertised. The location was perfect for walking to MVP arena. The space was clean and the host was very responsive. We would definitely stay here again and recommend it to others
9005989,765354060,2021/6/1,Amanda,"This apartment is a great way to explore Albany's most popular neighborhood!  We loved how comfortable the bed was, and having a full kitchen was a plus.  If you want to receive the full Albany experience I would definitely book this place!"
10768745,116005121,2016/11/27,Lindsay,Great location.  Very quiet and private.  
